Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:33:23

Sample Number,Time (s),2 (VOLT),
599,-0.00194123,-13.5329633504152,
600,-0.001936115,-13.7003273665905,
601,-0.001931,-13.7003273665905,
602,-0.001925885,-13.5329633504152,
603,-0.00192077,-13.7003273665905,
604,-0.001915655,-13.5329633504152,
605,-0.00191054,-13.5329633504152,
606,-0.001905425,-13.7003273665905,
607,-0.00190031,-9.51622696220875,
608,-0.001895195,13.5800072699785,
609,-0.00189008,14.0820993185043,
610,-0.001884965,13.7473712861538,
611,-0.00187985,13.9147353023291,
612,-0.001874735,13.7473712861538,
613,-0.00186962,13.9147353023291,
614,-0.001864505,13.7473712861538,
615,-0.00185939,13.9147353023291,
616,-0.001854275,13.7473712861538,
617,-0.00184916,13.7473712861538,
618,-0.001844045,13.9147353023291,
619,-0.00183893,14.0820993185043,
620,-0.001833815,13.7473712861538,
621,-0.0018287,14.0820993185043,
622,-0.001823585,13.7473712861538,
623,-0.00181847,13.7473712861538,
624,-0.001813355,13.7473712861538,
625,-0.00180824,13.9147353023291,
626,-0.001803125,13.7473712861538,
627,-0.00179801,13.9147353023291,
628,-0.001792895,13.7473712861538,
629,-0.00178778,13.9147353023291,
630,-0.001782665,13.9147353023291,
631,-0.00177755,13.7473712861538,
632,-0.001772435,13.7473712861538,
633,-0.00176732,13.9147353023291,
634,-0.001762205,13.7473712861538,
635,-0.00175709,14.0820993185043,
636,-0.001751975,13.9147353023291,
637,-0.00174686,13.9147353023291,
638,-0.001741745,13.9147353023291,
639,-0.00173663,13.9147353023291,
640,-0.001731515,13.9147353023291,
641,-0.0017264,13.9147353023291,
642,-0.001721285,13.7473712861538,
643,-0.00171617,13.9147353023291,
644,-0.001711055,13.7473712861538,
645,-0.00170594,13.9147353023291,
646,-0.001700825,13.9147353023291,
647,-0.00169571,-13.5329633504152,
648,-0.001690595,-13.7003273665905,
649,-0.00168548,-13.7003273665905,
650,-0.001680365,-13.5329633504152,
651,-0.00167525,-13.5329633504152,
652,-0.001670135,-13.7003273665905,
653,-0.00166502,-13.5329633504152,
654,-0.001659905,-13.7003273665905,
655,-0.00165479,-13.7003273665905,
656,-0.001649675,-13.5329633504152,
657,-0.00164456,-13.8676913827658,
658,-0.001639445,-13.5329633504152,
659,-0.00163433,-13.5329633504152,
660,-0.001629215,-13.5329633504152,
661,-0.0016241,-13.5329633504152,
662,-0.001618985,-13.5329633504152,
663,-0.00161387,-13.7003273665905,
664,-0.001608755,-13.7003273665905,
665,-0.00160364,-13.7003273665905,
666,-0.001598525,13.7473712861538,
667,-0.00159341,14.0820993185043,
668,-0.001588295,13.7473712861538,
669,-0.00158318,13.9147353023291,
670,-0.001578065,13.7473712861538,
671,-0.00157295,13.9147353023291,
672,-0.001567835,13.7473712861538,
673,-0.00156272,13.9147353023291,
674,-0.001557605,13.7473712861538,
675,-0.00155249,14.0820993185043,
676,-0.001547375,13.9147353023291,
677,-0.00154226,13.9147353023291,
678,-0.001537145,13.9147353023291,
679,-0.00153203,13.9147353023291,
680,-0.001526915,13.7473712861538,
681,-0.0015218,14.0820993185043,
682,-0.001516685,13.7473712861538,
683,-0.00151157,13.9147353023291,
684,-0.001506455,13.7473712861538,
685,-0.00150134,14.0820993185043,
686,-0.001496225,-13.7003273665905,
687,-0.00149111,-13.5329633504152,
688,-0.001485995,-13.7003273665905,
689,-0.00148088,-13.7003273665905,
690,-0.001475765,-13.5329633504152,
691,-0.00147065,-13.5329633504152,
692,-0.001465535,-13.7003273665905,
693,-0.00146042,-13.5329633504152,
694,-0.001455305,-13.7003273665905,
695,-0.00145019,-13.5329633504152,
696,-0.001445075,-13.7003273665905,
697,-0.00143996,-13.7003273665905,
698,-0.001434845,-13.7003273665905,
699,-0.00142973,-13.5329633504152,
700,-0.001424615,-13.5329633504152,
701,-0.0014195,-13.5329633504152,
702,-0.001414385,-13.5329633504152,
703,-0.00140927,-13.7003273665905,
704,-0.001404155,-13.8676913827658,
705,-0.00139904,-13.5329633504152,
706,-0.001393925,-13.7003273665905,
707,-0.00138881,-13.5329633504152,
708,-0.001383695,-13.5329633504152,
709,-0.00137858,-13.5329633504152,
710,-0.001373465,-13.7003273665905,
711,-0.00136835,-13.7003273665905,
712,-0.001363235,-13.7003273665905,
713,-0.00135812,-13.7003273665905,
714,-0.001353005,-13.7003273665905,
715,-0.00134789,-13.5329633504152,
716,-0.001342775,-13.7003273665905,
717,-0.00133766,-13.5329633504152,
718,-0.001332545,-13.7003273665905,
719,-0.00132743,-13.7003273665905,
720,-0.001322315,-13.7003273665905,
721,-0.0013172,-13.7003273665905,
722,-0.001312085,-13.5329633504152,
723,-0.00130697,-13.7003273665905,
724,-0.001301855,-13.5329633504152,
725,-0.00129674,14.0820993185043,
726,-0.001291625,13.9147353023291,
727,-0.00128651,13.9147353023291,
728,-0.001281395,13.7473712861538,
729,-0.00127628,14.0820993185043,
730,-0.001271165,13.7473712861538,
731,-0.00126605,14.0820993185043,
732,-0.001260935,13.7473712861538,
733,-0.00125582,14.0820993185043,
734,-0.001250705,13.9147353023291,
